"Event Unique ID","Title","Event Status","Organization","Organization Type","Organization Shipping Address - Street Address","Address line 2","Organization Shipping Address - City","Organization Shipping Address - State","Organization Shipping Address - Zip","Organization Facebook Address","Organization Instagram Address","Organization Twitter @Username","Organization Website","URL","Event Type","Content Area","Target Audience","Special Audiences","Event Date(s)","Event Venue or Facility Name","Street Address","Address line 2","City","State","Zip code","NC County","Coordinates","Cost for Festival Participants","Single Event Price","Event Description","Event Website","In-person/Online"
3370,"QAR Lab: The Science of Archaeology and Conservation","Accepted","OSA/Queen Anne's Revenge Conservation Lab","Museum/Science Center","1157 VOA Site C Road",,"Greenville","North Carolina",27834,"https://www.facebook.com/QARShipwreckProject/",,,"https://www.qaronline.org/","http://www.ncsciencefestival.org/events/qar-lab-science-archaeology-and-conservation-2","Hands-On, Indoor Event, Outdoor Event, Tour","Art & Design, Chemistry, Mathematics, Engineering, Science & Society, Technology","Pre-K, Children, Teens, Families, Adults",,"04/05/2025 - 10:00am to 3:00pm","Queen Anneâ€™s Revenge Conservation Lab","1157 VOA Site C Road",,"Greenville","North Carolina",27834,"Pitt","POINT (-77.4836815 35.6325393)","FREE",,"<p>Pirates, archaeology, and science, oh my! Come out to the annual Queen Anneâ€™s Revenge Conservation Labâ€™s Open House to experience ongoing archaeological conservation. Learn how conservators and archaeologists use chemistry, art, physics, technology, and more to recover and conserve artifacts through fun hands-on activities and educational demonstrations. Encounter artifacts from Blackbeard's flagship,Â <em>Queen Anne's Revenge</em>, formerly the French slave-trading vesselÂ <em>La Concorde</em>. Examine artifacts recovered from eastern NC and learn more about how science and the arts meet to record and care for local history! Be an archaeological conservator for a day and discover how interdisciplinary, scientific research is bringing North Carolina History back to life at this free, educational event! An official event of the NC Science Festival.</p>
","https://www.qaronline.org/news/events/qar-lab-science-archaeology-and-conservation","In-person"
3371,"FIRST NC FIRST Robotics Competition State Championship","Accepted","FIRST North Carolina","Non-profit","6901 Downwind Road","Suite E","Greensboro","North Carolina",27409,"FIRSTNorthCarolina","first_northcarolina","FIRSTNC","www.firstnorthcarolina.org","http://www.ncsciencefestival.org/events/first-nc-first-robotics-competition-state-championship-0","Hands-On, Indoor Event, Tour","Business & Careers, Physics, Engineering, Technology","Teens, Families",,"04/05/2025 - 11:00am to 6:00pm 04/06/2025 - 10:00am to 5:00pm","UNCG Fleming Gym","1408 Walker Ave",,"Greensboro","North Carolina",27412,"Guilford","POINT (-79.8127491 36.069108)","FREE",,"<p>Dive deep into robotics! Cheer on your favorite team and robot at the FRC State Championship! Check out the cool STEM career opportunities and meet potential future employers. There's plenty of excitement and lots to learn at this action-packed competition.</p>
","https://www.firstnorthcarolina.org","In-person"
3372,"Statewide Star Party: Old North Durham Park","Accepted","City of Durham Parks and Recreation","Government Agency (state or local)","1102 Morreene Road",,"Durham","North Carolina",27705,"dprplaymore","dprplaymore","dprplaymore","dprplaymore.org","http://www.ncsciencefestival.org/events/statewide-star-party-old-north-durham-park-7","Hands-On, Outdoor Event, Stargazing","Earth & Space Sciences","Pre-K, Children, Teens, Families",,"04/04/2025 - 7:00pm to 10:00pm","Old North Durham Park","310 W Geer St",,"Durham","North Carolina",27701,"Durham","POINT (-78.8996491 36.0043729)","FREE",,"<p>Celebrate this yearâ€™s NC Statewide StarÂ party with Durham Parks and Recreation! Our knowledgeable staff will provide high powered binoculars and telescopes for high quality viewing, a solar system walk, and plenty of space-themed crafts and activities. Learn more about all things space: meteors showers, planets, stars, and the moon! Dress for the weather.Â </p>
<p>The NC Science Festivalâ€™s annual Statewide Star Party is made possible through the generous support of theâ€¯<a href=""https://ncspacegrant.ncsu.edu/"" rel=""noreferrer noopener"" target=""_blank"">NC Space Grant</a>.</p>
",,"In-person"
3373,"Everyday, Everywhere, Everyone: Cooking, Careers, and Creativity","Accepted","Childrenâ€™s Museum of Jacksonville ","Museum/Science Center","625 New Bridge St",,"Jacksonville","North Carolina",28540,"Www.Facebook.com/zingzumm","Www.instagram.com/zingzumm","ZingZumm","Www.zingzumm.org","http://www.ncsciencefestival.org/events/everyday-everywhere-everyone-cooking-careers-and-creativity","Hands-On, Indoor Event","Mathematics, Engineering, Science & Society, Food","Pre-K, Children, Families",,"04/26/2025 - 9:00am to 5:00pm","Children's Museum of Jacksonville","625 New Bridge St",,"Jacksonville","North Carolina",28540,"Onslow","POINT (-77.423535 34.7500141)","FREE",,"<p>Join us Saturday, April 26 with the NC Science Festivalâ€”where everyday is an adventure in cooking, careers, and creativity! Scoop into Science: Get ready for a delicious hands-on experience as we discover the science behind this chilly treat and learn how simple ingredients can turn into a sweet masterpiece. Explore Careers: Meet inspiring STEAM professionals and engage in interactive discussions. Youâ€™ll leave with new possibilities for your own future! Create Together: Unleash your artistic side by participating in our collaborative collage project. We will be creating art using science! Discover how science is Everyday, Everywhere, and for Everyone!</p>
","https://zingzumm.org/upcoming-events/","In-person"
3374,"Stemventure 2025","Accepted","Franklinton HS Math club","Club","910 cedar Creek Rd",,"Franklinton","North Carolina",27549,,,,"https://fhsmathclub.weebly.com/","http://www.ncsciencefestival.org/events/stemventure-2025","Hands-On, Indoor Event, Expo","Art & Design, Business & Careers, Life Sciences, Earth & Space Sciences, Mathematics, Physics, Engineering, Science & Society, Technology","Children, Teens, Families","Primary and Secondary School Students","04/24/2025 - 6:00pm to 8:00pm","Royal Elementary School","308 Flat Rock Church Road",,"Louisburg","North Carolina",27549,"Franklin","POINT (-78.3655342 36.0206248)","FREE",,"<p>The Franklinton HS Math Club and friends invite you to come on a STEMVenture with us as we turn theÂ Gymnasium at Royal Elementary School, here in Franklin County, into a Carnival of STEM!</p>
<p>From MathscotchÂ to building Bubbles, from gazing at the starsÂ to making one of your own.Â Â Come join us for a Stem-tastic, hands-on time.Â Last year's featured guests were a NASA Rocket Scientist and Reginald the Duck. Who will this year's guest be? Come and find out.</p>
",,"In-person"
3375,"With Trowel and Spade: A Day of Archaeology at Historic Bath","Accepted","Historic Bath State Historic Site","Government Agency (state or local)","P.O. Box 148",,"Bath","North Carolina",27808,,,,"https://historicsites.nc.gov/all-sites/historic-bath","http://www.ncsciencefestival.org/events/trowel-and-spade-day-archaeology-historic-bath","Hands-On, Outdoor Event, Performance/Talk","Business & Careers, Earth & Space Sciences, Mathematics, Science & Society, Environment, Technology","Children, Teens, Families, Adults",,"04/12/2025 - 10:00am to 3:00pm","Historic Bath State Historic Site","207 Carteret Street",,"Bath","North Carolina",27808,"Beaufort","POINT (-76.8126048 35.4766852)","FREE",,"<p>Our day of archaeology will have all the intrigue of an Indiana Jones film, just minus the whips, rolling boulders, and melting faces. Join us at Historic Bath State Historic Site where real-life archaeologists guide you through a mock dig using the methods and tools they use out in the field. Suit up, and get ready to get your hands dirty! Â </p>
","https://historicsites.nc.gov/upcoming-events/historic-bath","In-person"
3377,"Perquimans County Library Science Night","Accepted","Perquimans County Library","Library","514 S Church St","Perquimans County Library","Hertford","North Carolina",27944,"https://www.facebook.com/PerquimansCountyLibrary","https://www.instagram.com/perquimanscountylibrary/",,"https://pettigrewlibraries.libguides.com/PCL","http://www.ncsciencefestival.org/events/perquimans-county-library-science-night","Hands-On, Indoor Event, Expo","Chemistry, Earth & Space Sciences, Science & Society, Technology","Children, Families",,"04/17/2025 - 5:00pm to 6:30pm","Perquimans County Library","514 S Church St",,"Hertford","North Carolina",27944,"Perquimans","POINT (-76.4653479 36.1825745)","FREE",,"<p>Science is fun! Have you ever wanted to learn how finderprints can help solve crime? Do you love lava lamps and want to create your own?Â Join us at Perquimans County Library for hands on STEAM activities.Â </p>
<p><a href=""https://form.jotform.com/243014586735055"">Register for your family's timeslot here</a>.Â </p>
",,"In-person"
3378,"The Mountain Science Expo","Accepted","The North Carolina Arboretum","UNC System","100 Frederick Law Olmsted Way",,"Asheville","North Carolina",28806,,,,"https://www.ncarboretum.org/","http://www.ncsciencefestival.org/events/mountain-science-expo-1","Hands-On, Indoor Event, Outdoor Event, Performance/Talk, Expo","Art & Design, Life Sciences, Earth & Space Sciences, Science & Society, Environment, Technology","Pre-K, Children, Teens, Families, Adults",,"04/26/2025 - 10:00am to 4:00pm","The North Carolina Arboretum","100 Frederick Law Olmsted Way",,"Asheville","North Carolina",28806,"Buncombe","POINT (-82.6091524 35.4973249)","FREE","Free with parking fee of $20 per car/free for members. Parking waiver available at local participating libraries by checking out a science book while supplies last.","<p>Join us for a full day of family-friendly science and fun! The North Carolina Arboretum's 2025Â Mountain Science Expo will feature hands-on demonstrations, guided programs and local STEAMÂ exhibitors. With opportunitiesÂ toÂ meet local wildlife, design your own inventions, and explore the art and science of azaleas, there is something for all ages of curious people at the 2025Â Mountain Science Expo.</p>
",,"In-person"
3379,"Scientist Today!...Experiment and Play!","Accepted","KidSenses Children's Interactive Museum","Museum/Science Center","172 North Main Street",,"Rutherfordton","North Carolina",28139,"https://www.facebook.com/KidSenses",,,"https://www.kidsenses.org/","http://www.ncsciencefestival.org/events/scientist-todayexperiment-and-play","Hands-On, Indoor Event, Outdoor Event","Engineering, Environment, Technology","Children, Families","Families with young children","04/04/2025 - 1:00pm to 4:00pm","KidSenses Children's Interactive Museum","172 North Main Street",,"Rutherfordton","North Carolina",28139,"Rutherford","POINT (-81.9569336 35.3674471)","FREE",,"<p>Science is the name, and exploration is the game! Join us for a day of mind-blowing discoveries at our FREE NCSciFest event! Itâ€™s a family-friendly science extravaganza, perfect for all you budding scientists and curious minds out there! Get ready to dive into a whirlwind of science-themed assemblies, hands-on workshops, and fun-filled games! The only limit? Your wild science imagination! So, grab your calendars, don your coolest science hats, and letâ€™s get experimenting together!Â </p>
","https://www.kidsenses.org/","In-person"
3380,"Carolina Science Cafe ","Accepted","Morehead Planetarium & Science Center","UNC System","250 East Franklin Street",,"Chapel Hill","North Carolina","27599-3480",,,,,"http://www.ncsciencefestival.org/events/carolina-science-cafe-1","Indoor Event, Performance/Talk","Science & Society","Adults",,"04/01/2025 - 6:00pm to 7:00pm","Haw River Tap & Table","300 E Main St., NC 27510",,"Carrboro","North Carolina",27510,"Orange","POINT (-79.0688137 35.910023)","FREE",,"<p>Join us for a special installment of the Carolina Science Cafe, Morehead Planetarium and Science Centerâ€™s free, current science awareness program. For the April Cafe, we will be joined by Dr. Tara Harrison, a faculty advisor for the Carnivore Conservation Crew, an organization that manages and cares for critically endangered red wolves as part of USFW and the Association of Zoos and Aquariums SAFE program for Red Wolves.</p>
<p>Designed for adults, this program explores science topics making national and international headlines and offers the chance to meet the experts behind the headlines. The Carolina Science Cafe is hosted at Haw River Tab & Table in Carrboro on Tuesday, April 1st, starting at 6:00 p.m. with light appetizers available for all attendees. Parking is available in the parking deck behind the building if the lot out front if full.</p>
","https://moreheadplanetarium.org/program/carolina-science-cafe/","In-person"
3381,"UNC Charlotte STEAM Expo","Accepted","University of North Carolina Charlotte","UNC System","9201 University City Blvd.","Center for STEM Education, COED 222","Charlotte","North Carolina",28223,"https://www.facebook.com/unccharlottecenterforstemeducation","https://www.instagram.com/unccharlotte/","https://twitter.com/CSTEM_UNCCin","cstem.charlotte.edu","http://www.ncsciencefestival.org/events/unc-charlotte-steam-expo","Hands-On, Indoor Event, Outdoor Event, Expo","Art & Design, Health, Business & Careers, Chemistry, Life Sciences, Earth & Space Sciences, Mathematics, Physics, Engineering, Science & Society, Environment, Food, Sports & Fitness, Technology","Pre-K, Children, Teens, Families, Adults, Special Audience",,"04/27/2025 - 12:00am to 4:00pm","University of North Carolina Charlotte, Main Plaza","8838 Craver Rd",,"Charlotte","North Carolina",28223,"Mecklenburg","POINT (-80.7340681 35.3075801)","FREE",,"<p>The UNC CharlotteÂ STEAMÂ Innovation ExpoÂ is back as part of the 2025 NCÂ ScienceÂ Festival!</p>
<p>The 2025Â ExpoÂ will beÂ Sunday, April 27, from 12:00 pm until 4:00 pm and will take place on the UNC Charlotte plaza between Mebane Hall (Cato College of Education), the College of Health and Human Services Building, Barnhardt Student Activities Center, and Woodward Hall.Â </p>
<p>The UNC Charlotte Center forÂ STEMÂ Education, UNC CharlotteÂ STEMÂ departments, and community stakeholders will facilitate events focused on engaging and interactiveÂ STEM learning opportunities. Through hands-on activities,Â STEM talks, lab tours, nature experiences, exhibits and performances, the UNC CharlotteÂ STEAMÂ ExpoÂ engages a wide range of public audiences while inspiring future generations.</p>
","https://cstem.charlotte.edu/steam-innovation-expo/","In-person"
3384,"State of Change Screening Event and Discussion","Accepted","PBS North Carolina","UNC System","10 UNC TV Dr",,"Research Triangle Park","North Carolina",27709,"https://www.facebook.com/MyPBSNC/","https://www.instagram.com/mypbsNC/",,"https://www.pbsnc.org/","http://www.ncsciencefestival.org/events/state-change-screening-event-and-discussion-0","Indoor Event, Online or On Air, Performance/Talk","Health, Chemistry, Earth & Space Sciences, Physics, Science & Society, Environment","Families, Adults",,"04/22/2025 - 7:00pm to 8:30pm","North Carolina Museum of Natural Sciences","11 West Jones Street",,"Raleigh","North Carolina",27601,"Wake","POINT (-78.6393356 35.7821558)","FREE",,"<p>PBS NC is partnering again with the NC Museum of Natural Sciences for an in-person and online event to screenÂ a new installation of the Emmy award-winningÂ <em>State of Change</em>Â program, continuing our statewide profiles of North Carolinians and their personal experiences of resilience in the face of climate change.</p>
<p>North Carolina is feeling the impacts of a changing climate from massive storms in the mountains creating unimaginable levels of flooding and destruction, to the slower more insidious creep of rising ocean tides on our coast. Across the state, returning things to a natural state is increasing resiliency and connection to nature in communities locatedÂ along our rivers, swamps, and coast.Â </p>
<p>Following the screening, Michelle Lotker, the producer of<em>Â State of Change</em>, willÂ host a panel of climate scientists and experts working on climate change issues at a community level for a lively discussion. The panel will also answer questions from the audience at the museum and online.</p>
<p><a href=""https://www.eventbrite.com/e/pbs-ncs-state-of-change-living-with-water-screening-and-discussion-tickets-1234967142969?aff=oddtdtcreator"">Get your free tickets here!</a></p>
",,"In-person, Virtual"
3385,"Sensory Days: Navigating Nature Together","Accepted","Wake County Parks, Recreation and Open Spaces","Government Agency (state or local)","4709 Ten-Ten Rd.",,"Apex","North Carolina",27539,,,,"https://www.wake.gov/departments-government/parks-recreation-open-space","http://www.ncsciencefestival.org/events/sensory-days-navigating-nature-together","Hands-On, Outdoor Event","Science & Society, Environment","Teens, Families, Adults, Special Audience","Neurodiverse individuals, Differing Abilities","04/24/2025 - 12:00pm to 2:00pm","Heron Shelter","4709 Ten-Ten Rd.",,"Apex","North Carolina",27539,"Wake","POINT (-78.7653312 35.6934653)","FREE",,"<p>Join us at Crowder County Park for <em>Sensory Days: Navigating Nature Together</em>, a slow-paced, sensory-friendly walk designed for individuals with disabilities and their families. This two-hour, inclusive experience takes place along our 0.3-mile pond loop, with multiple stops to engage the senses in connecting with nature. Participants will explore using sight and soundÂ through guided activities and quiet observation.</p>
<p>* Registration requires guardians or aides to register alongside participants, as this is not a drop-off program. All registered participants must have a guardian present for the entire event. *</p>
<p>To ensure a welcoming experience, weâ€™ll provide communication cards, noise-canceling headphones, sensory fidgets, quiet spaces and more. This eventÂ lets us embraceÂ the beauty of nature together in an inclusive setting.</p>
","http://apm.activecommunities.com/wakeparks/Activity_Search/7594","In-person"
3386,"UNC Charlotte Robot Rumble 2025","Accepted","UNC Charlotte Combat Robot Club","Club","8908 University City Blvd","Apt F109","Charlotte","North Carolina",28213,,"clt_combatrobots",,"https://webpages.charlotte.edu/bschoell/CCRC-home.html","http://www.ncsciencefestival.org/events/unc-charlotte-robot-rumble-2025","Indoor Event","Engineering, Technology","Children, Teens, Families, Adults",,"04/12/2025 - 10:00am to 6:00pm","Belk Gymnasium, at UNC Charlotte","8911 University Rd",,"Charlotte","North Carolina",28213,"Mecklenburg","POINT (-80.735688 35.305376)","FREE",,"<p>It's robot fighting time!Â Come watch over 40 combat robots fight to the death in a fascinating day-long destructive robotics tournament.Â We fight battling remote controlled robots in a bulletproof cage for two minutes, or until one robot is dead.Â Our bots fight in 3 weight classes: 3 pounds, 1 pound, and 1 pound all 3-D printed.Â Come see sparks fly and bots get hit high!Â Â </p>
<p><em>The event and parking are both free. The closest parking isÂ 8921 University Rd, Charlotte, NC 28262.</em></p>
<p>Â </p>
","https://webpages.charlotte.edu/bschoell/events.html","In-person"
